Date, Close/Last, Volume, Open, High, Low
06/27/2019, $222.84, 6339710, $219.45, $222.9, $217.35
06/26/2019, $219.27, 8507208, $220.31, $227.23, $218.1
06/25/2019, $219.76, 6182071, $224.39, $225.34, $219.49
06/24/2019, $223.64, 5750771, $223.24, $225.86, $221.02
06/21/2019, $221.86, 8202078, $216.22, $222.18, $215.5
06/20/2019, $219.62, 11863460, $223, $226.9, $216.35
06/19/2019, $226.43, 6575135, $225.11, $227.77, $221.06
06/18/2019, $224.74, 12715790, $228.72, $234.74, $222.56
06/17/2019, $225.03, 12316800, $215.48, $227, $214.27
06/14/2019, $214.92, 7433402, $211.25, $216.65, $210.4
06/13/2019, $213.91, 8168260, $210.38, $214.9, $207.5103
06/12/2019, $209.26, 15197540, $222.95, $223.38, $209
06/11/2019, $217.1, 11653540, $219.144, $220.9, $213.5
06/10/2019, $212.88, 10585040, $210.25, $216.94, $209.01
06/07/2019, $204.5, 16003530, $205, $210.8438, $203.499
06/06/2019, $205.95, 20242150, $204.44, $211, $201.8
06/05/2019, $196.59, 13510760, $198.68, $201.2782, $191.8486
06/04/2019, $193.6, 13807520, $181.1, $193.98, $179.61
06/03/2019, $178.97, 13064410, $185.51, $186.68, $176.9919
05/31/2019, $185.16, 10406730, $185.1, $189.9204, $184.1
05/30/2019, $188.22, 7926475, $188.75, $192.255, $187.02
05/29/2019, $189.86, 11968640, $187.1, $192.39, $185.0401
05/28/2019, $188.7, 10312900, $191.2, $195, $187.85
05/24/2019, $190.63, 14136570, $199.83, $199.98, $188.7505
05/23/2019, $195.49, 26547140, $194.34, $199.465, $186.22
05/22/2019, $192.73, 18685190, $199.1, $203.94, $191.78
05/21/2019, $205.08, 18003900, $197.76, $207.4, $196.04
05/20/2019, $205.36, 20526200, $202.8, $206, $195.25
05/17/2019, $211.03, 17786670, $221.96, $222.24, $208.92
05/16/2019, $228.33, 7483273, $229.49, $231, $226.5
05/15/2019, $231.95, 7295976, $229.32, $232.44, $225.25
05/14/2019, $232.31, 7252412, $229.3, $234.5, $228
05/13/2019, $227.01, 10834800, $232.01, $232.47, $224.5
05/10/2019, $239.52, 7008336, $239.75, $241.99, $236.02
05/09/2019, $241.98, 6711382, $242, $243.68, $236.9434
05/08/2019, $244.84, 6176440, $246.94, $250.599, $244.2
05/07/2019, $247.06, 10131410, $256.8, $257.21, $245.1
05/06/2019, $255.34, 10833940, $250.02, $258.3499, $248.5
05/03/2019, $255.03, 23706770, $243.86, $256.61, $243.49
05/02/2019, $244.1, 18159340, $245.52, $247.13, $237.72
05/01/2019, $234.01, 10704350, $238.85, $240, $231.5
04/30/2019, $238.69, 9446965, $242.06, $244.21, $237
04/29/2019, $241.47, 16686620, $235.86, $243.98, $232.17
04/26/2019, $235.14, 22151160, $246.5, $246.68, $231.13
04/25/2019, $247.63, 21823380, $255, $259, $246.07
04/24/2019, $258.66, 9657061, $263.85, $265.32, $258
04/23/2019, $263.9, 10909350, $260.15, $265.6, $255.75
04/22/2019, $262.75, 12101690, $269, $269.68, $262.48
04/18/2019, $273.26, 5861478, $271.23, $274.84, $269.75
04/17/2019, $271.23, 5118011, $274.75, $274.79, $268.535
04/16/2019, $273.36, 7266504, $265.75, $275, $264.72
04/15/2019, $266.38, 10032490, $268.63, $268.88, $258.63
04/12/2019, $267.7, 6735386, $270.22, $271.95, $266.83
04/11/2019, $268.42, 9781294, $268.3, $270.5, $265.6
04/10/2019, $276.06, 7045034, $276.74, $278.38, $272.8925
04/09/2019, $272.31, 5893247, $271.65, $275, $269.61
04/08/2019, $273.2, 10364600, $277.69, $281.16, $270.44
